GeneID,n_reads,tso_reads,noise_reads,perfect_molecule_barcodes,reads_mapped_exonic,reads_mapped_exonic_as,reads_mapped_intronic,reads_mapped_intronic_as,reads_mapped_uniquely,reads_mapped_multiple,duplicate_reads,spliced_reads,antisense_reads,molecule_barcode_fraction_bases_above_30_mean,molecule_barcode_fraction_bases_above_30_variance,genomic_reads_fraction_bases_quality_above_30_mean,genomic_reads_fraction_bases_quality_above_30_variance,genomic_read_quality_mean,genomic_read_quality_variance,n_molecules,n_fragments,reads_per_molecule,reads_per_fragment,fragments_per_molecule,fragments_with_single_read_evidence,molecules_with_single_read_evidence,reads_mapped_mitochondrial,number_cells_detected_multiple,number_cells_expressing
ABCA6,12026,1597,0,11248,2288,0,9707,0,11995,31,0,803,0,0.9806599827,0.004459031392,0.9864959559,0.003109634854,39.73860931,1.40129292,1165,8109,10.32274723,1.483043551,6.960515022,5583,226,0,691,831
ABCA7,1821,634,0,1493,1197,0,551,0,1748,73,0,212,0,0.9768442546,0.004935123958,0.9787784846,0.005610583816,39.57965088,2.711073875,463,1192,3.933045387,1.527684569,2.574514151,856,175,0,247,380
ABCA8,3213,562,0,3005,1621,0,1573,0,3194,19,0,381,0,0.9805218607,0.003981298301,0.9856658997,0.004158312455,39.72054672,1.926728606,346,2143,9.28612709,1.499300003,6.193641663,1467,74,0,211,269
ABCA9,9330,1346,0,8575,2927,0,6293,0,9220,110,0,934,0,0.9800732622,0.004862017464,0.9842563107,0.003939899616,39.69235611,1.817769527,1029,6416,9.067055702,1.454177022,6.235179901,4525,200,0,562,688
ABCB1,3082,684,0,2872,785,0,2164,0,2949,133,0,202,0,0.9810729213,0.004090958275,0.9860732889,0.002956353826,39.73116302,1.368112326,437,1970,7.052631378,1.564466953,4.508008957,1368,112,0,189,267
ABCB10,11640,1164,0,11021,2425,0,9017,0,11442,198,0,217,0,0.9819802599,0.003950277343,0.9830918643,0.004188731778,39.66677856,1.963651299,1074,7664,10.83798885,1.518789172,7.135940552,5289,199,0,710,831
ABCB11,327,235,0,286,0,0,182,0,182,145,0,3,0,0.9882772924,0.001608914579,0.8186544388,0.02093058452,35.51715469,12.90897655,273,298,1.197802186,1.097315431,1.091575146,277,245,0,25,266
ABCB4,243,67,0,238,43,0,184,0,227,16,0,12,0,0.9811385747,0.003344562603,0.9854595725,0.001838511671,39.71014786,0.8385531902,56,157,4.339285851,1.547770739,2.803571463,105,25,0,31,53
ABCB5,293,127,0,233,1,0,169,0,170,123,0,0,0,0.9786689615,0.004561501089,0.9789533917,0.006064486224,39.57295609,2.970467329,134,197,2.186567068,1.487309694,1.470149279,133,70,0,64,124
ABCB6,1487,157,0,1288,762,0,702,0,1464,23,0,167,0,0.9803855881,0.004503228702,0.9828514227,0.004247789271,39.67286301,1.98534143,200,1096,7.434999943,1.3567518,5.480000019,824,47,0,147,191
ABCB7,11547,1621,0,10667,1368,0,9943,0,11311,236,0,479,0,0.9817124421,0.004365333356,0.9821647099,0.004687113222,39.63578796,2.303269863,1220,7821,9.464754105,1.476409674,6.410655975,5414,304,0,700,923
ABCB8,1231,202,0,1131,668,0,550,0,1218,13,0,83,0,0.980571375,0.003760655876,0.9862894154,0.00210565445,39.74638748,0.8963466883,185,879,6.654054165,1.400455117,4.751351357,649,43,0,133,173
ABCB9,12797,1217,0,11810,2607,0,9949,0,12556,241,0,289,0,0.9777682521,0.004869796801,0.97990418,0.004612826277,39.58543015,2.337208509,1642,9362,7.793544292,1.366908789,5.701583385,6906,463,0,835,1187
ABCC1,7392,1252,0,6640,1434,0,5787,0,7221,171,0,366,0,0.9801813005,0.004226143472,0.9821669441,0.003617889248,39.65055466,1.705786705,1004,4939,7.362549782,1.496659279,4.919322491,3511,271,0,577,773
ABCC10,7753,1065,0,6814,3773,0,3720,0,7493,260,0,313,0,0.9809321322,0.004479203373,0.9834974608,0.004300612491,39.68140411,1.917809725,955,5362,8.11832428,1.445915699,5.614659786,3754,230,0,605,763
ABCC11,187,48,0,142,12,0,124,0,136,51,0,2,0,0.974598956,0.005362363532,0.9830065693,0.00376648549,39.65507889,1.890823245,83,131,2.253011942,1.427480936,1.578313231,95,51,0,32,81
ABCC12,114,25,0,89,64,0,38,0,102,12,0,6,0,0.9788011835,0.003787047695,0.9876218472,0.003884535749,39.75808716,1.831911325,21,78,5.428571224,1.461538434,3.714285612,55,9,0,12,21
ABCC13,147,36,0,81,0,0,68,0,68,79,0,0,0,0.9631519383,0.005529801827,0.9798186296,0.003282628721,39.60007477,1.38149333,81,96,1.814814806,1.53125,1.185185194,72,53,0,28,79
ABCC2,668,64,0,547,23,0,242,0,265,403,0,11,0,0.9754241785,0.005756521598,0.9833500064,0.002420827746,39.69388962,0.9528825879,235,495,2.842553139,1.349494934,2.106383085,371,128,0,105,214
ABCC3,2741,420,0,2454,1278,0,1278,0,2556,185,0,139,0,0.9796911329,0.004696884658,0.9676801154,0.00717974361,39.27408981,4.046264648,474,1990,5.782700539,1.377386928,4.198312283,1483,261,0,184,429
ABCC4,6185,1103,0,5350,845,0,4986,0,5831,354,0,297,0,0.9809216055,0.004469214939,0.9774616341,0.00586114265,39.51879883,3.059624434,847,4201,7.302243233,1.472268462,4.959858418,2930,350,0,376,661
ABCC5,27178,3551,0,24621,14100,0,12885,0,26985,193,0,1296,0,0.9801708701,0.004651648458,0.9848120949,0.003686401062,39.70572281,1.703246236,2918,18913,9.313913345,1.43700099,6.48149395,13421,563,0,1542,1803
ABCC6,247,50,0,181,16,0,156,0,172,75,0,8,0,0.9699730469,0.005785087124,0.9758434876,0.009739794768,39.49747467,5.125778198,100,182,2.470000029,1.357142806,1.820000052,136,60,0,42,94
ABCC8,23100,2889,0,20299,5272,0,17721,0,22993,107,0,2030,0,0.9792316261,0.004573979881,0.9851953203,0.003499966348,39.71527863,1.618521929,2794,15996,8.267716408,1.44411099,5.725125313,11525,550,0,1293,1544
ABCC9,1583,188,0,1321,769,0,531,0,1300,283,0,272,0,0.9823647295,0.004311110359,0.9869797458,0.004126614425,39.74363327,2.078452349,255,1080,6.207843304,1.4657408,4.235294342,746,76,0,126,185
ABCD1,429,59,0,349,134,0,259,0,393,36,0,6,0,0.9757187411,0.006726670545,0.9774929072,0.004659837577,39.58031082,1.827993751,86,292,4.988372326,1.469178081,3.395348787,201,35,0,47,78
ABCD2,12584,1597,0,11461,4079,0,8463,0,12542,42,0,183,0,0.9815904009,0.004178836476,0.9788029186,0.004774087109,39.58959961,2.169356585,1258,8587,10.00317955,1.465471029,6.825914383,6015,226,0,709,829
ABCD3,15489,1818,0,14377,3843,0,11535,0,15378,111,0,761,0,0.9821701625,0.004275235347,0.9840769018,0.003944853321,39.68616867,1.838406801,1409,10506,10.99290276,1.474300385,7.456352234,7269,224,0,892,1025
ABCD4,7427,495,0,6898,5520,0,1847,0,7367,60,0,177,0,0.9810601156,0.004343178123,0.9844726046,0.003938226029,39.70237732,1.804940701,671,5280,11.06855392,1.406628847,7.868852615,3785,126,0,457,550
ABCE1,12174,1616,0,11463,4583,0,7530,0,12113,61,0,990,0,0.9820930028,0.0043595233,0.9866692517,0.00294347154,39.74325562,1.325259566,1170,7868,10.40512848,1.547280073,6.724786282,5363,211,0,782,926
ABCF1,4404,1042,0,3936,3237,0,1109,0,4346,58,0,1000,0,0.9802452583,0.004028992727,0.9838884244,0.003645718098,39.68667984,1.686130404,701,3052,6.282453537,1.442988157,4.35378027,2202,196,0,443,582
ABCF2,3147,294,0,2635,1450,0,1659,0,3109,38,0,372,0,0.9805900012,0.004362393171,0.9828408397,0.004216859117,39.66612625,1.93369925,352,2243,8.940340996,1.403031707,6.372159004,1609,86,0,250,322
ABCF3,2689,160,0,1981,1689,0,1000,0,2689,0,0,261,0,0.9816226832,0.003669152269,0.9864386105,0.004117624834,39.73571396,1.985340238,281,1857,9.569395065,1.448034406,6.608541012,1299,65,0,203,257
ABCG1,7906,929,0,6539,2891,0,4931,0,7822,84,0,414,0,0.9786765557,0.004873277619,0.9816595322,0.004997260869,39.63804626,2.37263608,828,5476,9.548309326,1.443754554,6.613526344,3873,153,0,565,676
ABCG2,3463,539,0,3084,1371,0,1941,0,3312,151,0,325,0,0.9798344646,0.00439135544,0.9809446304,0.004242808558,39.63135147,1.888121486,479,2378,7.229645252,1.456265807,4.964509487,1682,151,0,226,348
ABCG4,2486,195,0,2232,1299,0,1185,0,2484,2,0,88,0,0.9739876884,0.007757020183,0.9812640274,0.00417036796,39.63551712,1.894250035,274,1757,9.072992325,1.414911747,6.412408829,1276,52,0,204,249
ABCG5,686,109,0,492,23,0,622,0,645,41,0,2,0,0.9778911783,0.004437491763,0.9807580553,0.00549133122,39.6219101,2.501716852,91,449,7.538461685,1.527839661,4.934065819,310,32,0,52,79
ABCG8,247,61,0,151,12,0,200,0,212,35,0,1,0,0.979757112,0.003540680278,0.9873594618,0.001031476422,39.76711273,0.3555711508,49,160,5.040816307,1.543750048,3.265306234,106,27,0,22,49
ABHD1,299,30,0,242,80,0,208,0,288,11,0,3,0,0.9771460603,0.006513600703,0.9829803273,0.002790808212,39.69037247,1.055566192,30,208,9.966666222,1.4375,6.933333397,139,5,0,23,28
ABHD10,3084,292,0,2784,1066,0,1981,0,3047,37,0,107,0,0.978815413,0.005060669966,0.9836540166,0.004604880232,39.67921448,2.186292171,299,2104,10.3143816,1.465779424,7.036789417,1450,43,0,225,262
ABHD11,470,23,0,383,431,0,21,0,452,18,0,31,0,0.9810283986,0.002793180291,0.9896927144,0.001517684432,39.80931091,0.6697405577,84,363,5.595238209,1.29476583,4.321428776,279,15,0,66,81
ABHD12,12170,1531,0,10612,1869,0,10159,0,12028,142,0,667,0,0.9798274684,0.00454071397,0.982503461,0.004389849026,39.66221237,1.993016958,1502,8371,8.102529526,1.453828692,5.573235512,6000,355,0,870,1081
ABHD12B,3813,475,0,3521,958,0,2824,0,3782,31,0,154,0,0.9794562649,0.004941022955,0.9839030534,0.004591776989,39.68178558,2.097931862,396,2589,9.628787994,1.47276938,6.53787899,1860,69,0,278,323
ABHD13,7692,855,0,7157,4207,0,3464,0,7671,21,0,117,0,0.9803584051,0.004212783184,0.9861920316,0.003104508156,39.73574448,1.385174513,646,5068,11.9071207,1.517758489,7.845201015,3501,83,0,488,554
ABHD14B,1155,85,0,1057,318,0,818,0,1136,19,0,15,0,0.9764069471,0.006032282487,0.9766041821,0.005773058627,39.54337311,2.568472624,156,847,7.403846264,1.363636374,5.429487228,609,33,0,109,137
ABHD15,132,2,0,116,0,0,103,0,103,29,0,0,0,0.9886363998,0.001460206346,0.9893939739,0.002921240404,39.79376602,1.302038312,26,84,5.076922894,1.571428537,3.230769157,57,18,0,8,26
ABHD16A,9818,2537,0,8901,4962,0,4841,0,9803,15,0,489,0,0.9805714201,0.004816851113,0.9854926628,0.003695299616,39.71788406,1.709451079,1349,6148,7.277983665,1.596942067,4.557449818,4243,264,0,872,1032
ABHD17A,4869,417,0,4470,2336,0,2519,0,4855,14,0,53,0,0.9699801782,0.006171456072,0.9756350291,0.005381021183,39.52962494,2.616936445,613,3635,7.942903519,1.339477301,5.929852962,2723,155,0,418,544
ABHD17B,8533,1306,0,7468,814,0,7637,0,8451,82,0,192,0,0.9819036107,0.004397338722,0.9833196934,0.004038785584,39.67350006,1.859726429,833,5718,10.24369717,1.49230504,6.864345551,3975,170,0,549,668
ABHD17C,5980,831,0,5368,1125,0,4792,0,5917,63,0,80,0,0.9815775007,0.004380777013,0.9837774388,0.00379165425,39.68252563,1.70563972,612,3849,9.771242142,1.55365026,6.289215565,2603,119,0,420,491
ABHD18,27131,4086,0,25453,3995,0,22680,0,26675,456,0,1851,0,0.9801518774,0.004450507928,0.9830939922,0.004098593257,39.66478348,1.933786511,3516,18185,7.716439247,1.491943955,5.172070503,12822,817,0,1629,2053
ABHD2,17459,2518,0,15806,995,0,16161,0,17156,303,0,425,0,0.9794948383,0.004865212832,0.9834342372,0.004202843644,39.6710701,2.018776655,2046,11685,8.53323555,1.494137764,5.711143494,8266,485,0,1119,1421
ABHD3,2489,387,0,2309,892,0,1459,0,2351,138,0,185,0,0.9832596964,0.003878498683,0.9843801899,0.003668580204,39.68784714,1.688829899,374,1662,6.655080318,1.497593284,4.44385004,1141,131,0,207,307
ABHD4,1278,159,0,1179,362,0,910,0,1272,6,0,44,0,0.9778299608,0.005903298501,0.9811163558,0.005267228931,39.63694,2.344347239,128,819,9.984375,1.560439587,6.3984375,543,23,0,102,123
ABHD5,2768,378,0,2485,855,0,1880,0,2735,33,0,60,0,0.9797386989,0.004987775348,0.9829761119,0.004519184586,39.67061234,2.079652548,253,1802,10.94071102,1.536071062,7.122529507,1242,48,0,183,221
ABHD6,8024,997,0,7658,1778,0,6110,0,7888,136,0,181,0,0.9800079162,0.004543516785,0.9846779413,0.002922101179,39.70647049,1.275999904,963,5497,8.332294464,1.459705353,5.708203316,3957,172,0,618,735
ABHD8,4082,510,0,3651,1431,0,2594,0,4025,57,0,71,0,0.9793402204,0.00432748301,0.9833252037,0.004335735925,39.67189407,2.131152868,676,3022,6.038461685,1.350761056,4.470414162,2262,126,0,459,553
ABI1,25426,3505,0,23587,3878,0,21404,0,25282,144,0,563,0,0.981029936,0.004464767873,0.9841811394,0.004016278777,39.68863678,1.867102742,2415,17108,10.52836418,1.486205339,7.084057808,11760,391,0,1435,1635
ABI2,87276,14258,0,80556,26075,0,60459,0,86534,742,0,2467,0,0.981237704,0.004347673617,0.983093131,0.003969754092,39.66081619,1.9070189,10123,56807,8.621555328,1.536359906,5.611676216,39314,2526,0,3788,5117
ABI3,123,18,0,109,18,0,97,0,115,8,0,0,0,0.9674797061,0.01088730711,0.9752484369,0.006119840313,39.48075485,3.01274538,25,94,4.920000076,1.308510661,3.75999999,73,7,0,17,23
ABI3BP,2526,530,0,2053,165,0,2290,0,2455,71,0,85,0,0.9793151413,0.00502025988,0.9837028512,0.004848830402,39.67272568,2.359890461,316,1565,7.99367094,1.614057541,4.952531815,1073,101,0,171,249
ABITRAM,5286,560,0,4811,954,0,4313,0,5267,19,0,252,0,0.9810348314,0.004440261982,0.9836633769,0.00378637109,39.67671967,1.795580864,567,3716,9.322751045,1.422497272,6.553792,2639,113,0,393,485
ABL1,17816,1967,0,16629,6866,0,10654,0,17520,296,0,185,0,0.9809300848,0.00422475487,0.9840736502,0.003813216696,39.68904495,1.776537418,1808,12314,9.853981972,1.446808457,6.810840607,8645,429,0,972,1216
